#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474285102,6,52
1474285112,3,23
1474285122,6,65
1474285132,6,59
1474285142,5,57
1474285152,7,73
1474285162,3,45
1474285172,5,38
1474285182,6,60
1474285192,5,67
1474285202,3,21
1474285212,7,52
1474285222,6,63
1474285232,2,39
1474285242,7,62
1474285252,7,75
1474285262,6,117
1474285272,3,34
1474285282,4,41
1474285292,12,278
1474285302,10,122
1474285312,8,109
1474285322,9,106
1474285332,4,49
1474285342,11,241
1474285352,3,39
1474285362,6,84
1474285372,10,246
1474285382,7,67
1474285392,6,86
1474285402,10,133
1474285412,7,84
1474285422,5,85
1474285432,5,44
1474285442,8,141
1474285452,8,105
1474285462,8,83
1474285472,5,88
1474285482,12,396
1474285492,4,69
1474285502,3,24
1474285512,4,43
1474285522,3,46
1474285532,8,89
1474285542,9,110
1474285552,10,100
1474285562,7,113
1474285572,10,160
1474285582,4,67
1474285592,6,97
1474285602,4,41
1474285612,1,20
1474285622,7,105
1474285632,2,75
1474285642,12,142
1474285652,3,53
1474285662,8,197
1474285672,10,145
1474285682,9,124
1474285692,3,72
1474285702,7,84
1474285712,7,127
1474285722,7,76
1474285732,1,26
1474285742,4,24
1474285752,5,51
1474285762,8,217
1474285772,4,49
1474285782,4,55
1474285792,3,19
1474285802,5,86
1474285812,2,21
1474285822,2,17
1474285832,8,97
1474285842,2,40
1474285852,6,75
1474285862,3,42
1474285872,4,90
1474285882,6,64
1474285892,9,99
1474285902,2,63
1474285912,4,33
1474285922,13,259
1474285932,8,141
1474285942,5,84
1474285952,12,363
1474285962,6,106
1474285972,4,31
1474285982,5,73
1474285992,7,120
1474286002,5,74
1474286012,3,30
1474286022,3,33
1474286032,11,269
1474286043,8,98
1474286053,9,184
1474286063,9,87
1474286073,6,77
1474286083,4,63
1474286093,4,23
1474286103,4,70
1474286113,5,51
1474286123,2,22
#Long loop: REC=1
1474286133,3,31
1474286143,2,21
1474286153,4,22
1474286163,8,196
1474286173,9,107
1474286183,5,96
1474286193,6,49
1474286203,8,104
1474286213,2,43
1474286223,7,127
1474286233,2,35
1474286243,8,119
1474286253,9,147
1474286263,10,99
1474286273,4,98
1474286283,12,192
1474286293,10,128
1474286303,6,69
1474286313,5,58
1474286323,12,189
1474286333,8,178
