CLICKS, MaxCPM7
7,106.3345
5,74.2627
5,67.8623
2,58.1879
7,110.5321
2,53.1632
5,42.9923
4,57.2457
5,100.1574
4,64.5399
5,59.0518
3,53.4433
5,50.0823
11,184.0168
3,103.9038
4,50.9647
3,39.1411
3,33.7936
8,179.4412
3,66.1688
5,65.2498
2,54.5384
3,41.2566
4,37.3652
11,148.2737
4,82.4305
3,47.1032
7,90.5797
6,88.4397
10,216.8525
5,87.0106
7,159.4170
5,149.0948
2,43.4351
2,34.3761
6,75.2284
9,143.4132
4,99.9714
6,127.2033
4,60.1788
11,216.8525
4,122.6349
5,63.2511
3,61.5276
4,42.9342
4,49.6595
8,190.6318
4,84.7047
6,68.8434
1,61.5276
4,35.0666
4,43.0028
7,183.3901
4,87.0322
6,66.0814
3,49.0643
5,58.5284
10,158.8382
3,94.9024
3,35.5168
4,58.9126
3,45.5255
6,59.7474
8,103.5656
10,161.5136
5,140.3368
5,78.7402
3,44.3403
5,149.4768
5,63.6537
3,58.5382
4,45.7337
0,0.0000
8,98.8003
6,78.0814
5,85.5746
10,121.6968
5,127.3654
8,108.1248
5,76.6955
8,131.0861
2,80.2752
3,49.6524
7,86.8271
5,79.3921
12,373.3334
8,248.4031
1,50.6366
5,46.0314
3,61.5655
7,79.8996
3,56.7169
6,101.5965
6,60.7217
4,110.6719
6,66.0939
4,64.8989
3,47.7132
5,54.4366
1,42.5118
5,34.2633
4,77.1945
5,69.8254
5,61.7175
5,66.1188
2,40.6032
5,63.0517
6,85.7948
4,70.2811
3,40.5492
3,46.7883
3,37.7013
5,67.5480
5,107.4279
6,113.1770
8,178.5259
4,153.9477
2,51.0055
6,53.2481
2,44.9987
2,36.7821
6,63.4633
6,100.2004
3,62.8479
7,82.2562
7,104.5713
4,87.8845
4,52.5447
2,39.8656
6,59.4783
4,77.6053
4,51.8788
10,154.3550
4,127.7605
2,34.5219
5,73.7619
4,56.3108
4,53.5127
2,38.9083
1,32.9831
6,46.2229
4,87.7633
8,191.4661
7,93.0851
3,76.7376
3,45.3074
5,75.1557
4,55.4719
5,104.2132
5,62.4220
4,55.2966
6,85.0237
6,74.9144
5,77.3224
6,71.3485
7,87.2165
7,123.3046
2,48.1994
6,67.7507
7,88.3058
7,100.2722
9,174.7379
3,106.1732
6,57.9854
10,192.6252
2,135.7115
6,81.7471
7,78.1861
3,56.6343
7,128.2756
3,165.7982
