CLICKS, MaxCPM5
2,23.0663
7,71.7360
3,59.6540
1,14.6549
7,77.7404
4,36.6166
5,54.2299
6,55.5247
2,34.5383
8,78.4519
1,29.6121
5,79.6178
4,23.6986
3,56.6679
4,33.8448
4,48.7964
5,42.3191
7,88.8889
2,45.9700
4,35.3565
9,163.0435
10,107.0664
2,34.2857
2,23.9444
4,23.3100
9,92.8793
7,236.5931
6,59.3237
7,72.5689
4,29.1772
4,39.1287
1,20.8638
2,15.4289
6,79.7448
6,66.9344
6,84.0807
6,49.7265
5,62.7353
6,73.9098
9,75.1503
3,60.5205
2,30.9310
6,46.8019
6,73.3496
3,40.0320
2,24.5781
1,15.8036
7,78.4929
3,35.0508
7,62.7878
6,65.2032
6,48.0154
6,77.8816
5,163.2209
1,16.3150
2,10.9806
4,39.0930
2,28.6533
8,138.2488
8,114.8545
5,60.2410
7,49.0436
6,106.6856
4,36.8098
9,86.9313
4,59.3472
3,44.0529
5,87.0070
3,30.3000
8,74.8877
6,54.7246
5,43.4531
5,76.3942
7,87.5146
5,107.6040
5,34.8028
5,46.2107
4,34.7423
6,63.7349
4,32.1027
1,22.1076
3,21.7817
4,21.9266
3,63.0915
4,30.7188
4,36.1533
3,31.2142
1,18.0788
5,42.9923
4,43.8212
8,71.9770
2,48.4574
8,179.7483
8,107.4114
7,127.2804
3,84.8896
6,66.6519
5,69.5410
4,42.0462
5,46.1467
3,24.2915
2,22.3032
5,61.9195
2,45.4133
3,25.6301
6,72.3066
1,17.4459
4,39.4893
6,51.9841
6,49.8836
6,57.9822
7,116.8679
5,59.2417
6,53.9860
6,126.7427
6,103.8781
6,65.3452
5,68.6342
5,108.1081
3,30.5998
4,42.9492
6,85.3485
6,58.3658
4,30.5873
7,72.2369
8,111.3586
2,56.1798
6,52.0924
2,37.1195
3,21.6435
4,32.0410
3,27.2802
5,91.7431
7,83.7287
2,33.3853
4,27.8422
4,31.7125
5,70.0607
7,72.7802
8,86.3807
6,51.6173
3,62.7484
7,62.7221
1,24.1177
10,81.4553
4,45.0789
5,53.7634
8,96.3391
8,92.9656
7,66.3423
10,103.5197
5,79.1766
9,207.0393
8,111.1111
5,87.2093
4,36.2845
6,74.1656
2,35.9454
3,23.2540
4,30.6905
4,70.2412
2,21.1060
5,35.4736
2,39.8301
0,0.0000
7,61.9195
5,56.1272
8,191.2046
5,189.1551
5,130.2083
8,148.4414
5,67.2948
8,85.2273
5,154.3210
9,76.7853
5,77.5795
4,43.6999
6,51.2996
6,55.2384
3,38.1777
6,47.5360
5,74.2207
7,79.6601
2,31.7024
5,35.7483
4,49.0356
3,25.9605
12,165.6543
4,48.3559
6,75.4717
5,47.1698
6,63.4115
8,113.2931
4,36.0794
5,65.4308
8,74.1473
4,32.8048
4,49.1481
6,49.1400
9,83.5189
4,74.4048
6,158.1444
4,34.2427
4,49.7018
7,79.1348
3,52.1830
10,188.7980
6,148.7357
8,63.3179
7,117.5549
5,59.3589
3,25.8755
2,47.0588
6,38.6897
4,38.8450
4,34.4195
3,34.1841
8,75.8342
2,25.9673
9,252.3129
9,143.8159
6,58.3317
6,79.6390
5,46.0193
2,23.9158
4,50.9424
8,91.2964
5,83.1716
5,40.3823
3,58.1959
2,20.1830
4,28.6150
9,116.7315
7,86.7805
8,86.8558
7,71.2589
5,65.1042
6,63.8434
8,82.2143
8,88.2613
6,83.5887
5,46.7727
5,38.8954
3,34.9325
7,80.9280
5,54.7445
4,107.8749
5,69.5894
6,56.6038
4,64.5439
0,0.0000
5,62.6697
8,108.3424
3,41.0172
7,118.6709
3,41.9933
9,138.1215
3,33.5345
1,28.3420
8,112.6972
3,100.2339
10,127.3345
3,75.7767
4,35.0672
5,46.7217
8,62.2407
5,104.9318
3,33.2521
4,33.7382
8,96.2773
4,44.8096
6,52.5210
3,49.5131
5,63.3847
9,332.5942
4,47.2813
4,36.7782
4,40.9221
4,38.8350
5,48.5437
5,39.9947
5,55.9701
6,66.2983
5,68.3995
4,79.5545
3,29.5450
4,30.8769
8,127.0648
6,84.5547
4,59.8444
7,198.4127
6,46.8238
2,28.1399
4,30.9151
3,25.5059
3,23.6276
3,28.8184
4,31.1397
5,82.5537
0,0.0000
5,41.6898
6,58.9391
0,0.0000
9,128.5347
6,124.0182
3,69.0449
4,33.6210
6,62.5000
16,247.5247
5,221.4022
4,26.9203
3,29.1234
8,88.5217
7,70.4722
1,35.4862
5,45.2284
3,57.0885
5,41.2031
6,53.2576
8,94.0734
2,30.4260
11,125.4181
6,130.3215
6,45.3858
6,74.3310
8,67.2194
6,112.8668
4,36.4034
9,135.0135
6,89.9550
6,78.9058
2,40.4640
6,66.3277
5,49.3990
10,114.9866
7,65.5165
6,111.1111
4,49.5050
8,108.1861
5,53.4283
5,49.4153
6,58.9623
6,138.6963
0,0.0000
0,0.0000
5,39.6458
4,39.9308
6,56.3380
6,74.9064
3,27.5685
10,219.9413
3,62.2536
5,51.5641
3,43.1841
4,32.7654
6,153.2176
2,32.1268
3,19.1351
6,81.6771
3,89.2857
3,22.8363
10,291.2622
1,53.1067
2,15.0602
4,31.7192
5,47.7251
3,31.3054
3,35.9885
6,74.2574
3,32.2234
3,27.5204
2,17.5305
5,46.9410
2,41.6725
6,38.7297
4,57.0451
8,84.9377
5,49.4234
6,57.7590
3,27.3050
8,119.6172
8,76.0071
7,75.1315
4,33.4448
4,41.4823
1,28.9296
5,63.3312
4,40.0962
3,35.3149
4,28.6123
5,83.8926
5,70.7881
8,96.8992
9,111.0700
7,89.7129
3,45.7457
8,62.3053
7,87.7193
5,76.0264
6,73.2064
6,62.9195
5,68.3216
6,61.6270
4,33.1969
4,43.1655
3,93.6037
4,23.2037
5,46.3822
6,45.7108
2,45.1399
6,74.2758
6,85.2757
1,73.1529
4,21.2239
9,85.9845
7,193.1745
4,32.8048
5,40.1230
5,104.6025
7,55.0964
9,86.9313
10,170.0680
8,118.8590
5,53.5810
7,76.5892
6,72.5163
8,86.7805
2,43.5414
6,128.2599
3,51.4580
5,61.6650
2,19.3961
4,52.2284
5,56.7859
7,57.1973
5,61.1995
4,45.3789
3,37.8263
5,34.9813
7,73.4394
5,41.7304
5,149.0313
10,138.1852
1,102.0408
3,19.9813
3,25.0021
3,24.3942
2,22.6757
5,40.8108
1,16.4438
4,28.3340
8,68.2128
8,93.6914
6,78.6370
4,32.9308
4,38.4025
3,28.9855
3,20.0642
8,100.8742
1,28.6971
5,48.5044
3,29.4522
9,80.9280
6,72.0288
2,32.0137
3,25.7356
8,83.5655
5,65.2884
6,53.5141
6,99.7340
5,40.2955
2,29.8211
8,64.2123
3,34.6460
6,79.9361
2,49.2773
10,83.3565
3,63.0385
3,41.6725
3,30.4445
5,99.6678
2,31.4334
5,77.5394
3,59.8802
11,144.9976
6,67.4006
5,218.3406
5,57.3175
11,143.8849
11,377.3585
8,95.7243
6,65.6743
6,60.5938
3,74.8130
7,74.7384
7,69.0767
2,50.2344
7,95.7243
3,31.9932
5,51.4315
5,43.6427
2,22.1435
5,49.8753
4,31.5391
6,60.3622
2,51.2908
4,23.3936
4,31.1139
4,43.3213
5,58.7889
4,50.6500
3,29.6824
3,18.3464
5,88.0282
3,35.1247
1,18.3914
5,42.5170
6,42.7838
5,83.4725
10,100.5699
5,98.8794
3,36.3636
7,79.2393
3,34.6021
9,99.5355
4,85.1547
3,30.2084
3,28.3152
5,71.4967
5,60.8396
6,74.9813
5,41.0004
5,97.5293
1,27.5229
6,48.3481
4,49.6607
8,71.3267
2,67.3099
6,57.5484
5,61.5385
3,30.3644
4,49.4071
6,94.7568
0,0.0000
1,14.1230
2,9.5030
5,46.0264
4,38.5951
4,54.9350
7,249.1694
4,29.1093
4,61.2245
2,27.8448
2,13.0101
4,28.9101
2,35.8166
5,82.8500
5,32.9200
3,32.7189
4,33.5646
3,28.6096
4,40.1768
6,88.1057
8,83.3102
7,228.8329
6,47.4233
4,36.5675
6,52.4659
3,53.7731
5,40.0320
5,54.2888
5,39.2824
4,29.5800
5,61.9323
7,67.5372
6,58.7314
3,25.9920
12,214.4389
6,171.1352
7,92.3077
6,58.2185
4,34.3289
5,44.9910
5,68.4932
4,33.9712
4,35.5745
3,41.8468
6,38.7297
6,73.3138
4,75.0751
5,40.5789
4,50.7614
7,81.8554
6,55.1775
6,86.5551
5,122.4990
7,103.5554
8,71.6846
9,136.2398
7,89.1796
4,29.2398
4,40.7056
9,98.5222
5,95.2381
7,193.0502
3,24.0944
1,13.0446
5,40.6504
8,94.9668
9,88.4173
3,30.4816
8,69.0449
6,63.8026
7,58.9971
6,96.4010
2,55.7414
8,131.8102
3,45.3378
9,148.7357
7,83.6120
6,54.3577
4,59.7848
4,24.9335
2,35.9109
4,26.9784
9,123.7624
5,90.3887
3,27.5103
9,78.9474
7,127.0648
5,68.1663
6,45.0992
5,92.4214
6,58.2185
4,44.7962
4,38.7147
2,25.4151
4,22.5124
4,56.1167
5,43.9367
3,32.3171
0,0.0000
4,15.2517
8,63.1180
2,63.1313
7,83.3797
3,38.7647
7,62.0091
9,86.4803
2,39.1389
3,23.7436
7,93.1677
5,68.0890
6,66.5188
2,41.3736
6,73.2780
4,31.1042
9,121.8027
9,87.2600
7,90.8540
2,46.8604
3,22.7549
6,71.2589
3,31.4367
3,32.1130
1,24.1488
6,214.7459
4,106.5719
5,90.2799
5,42.0816
3,46.2036
4,33.3333
6,92.3645
7,59.9281
7,99.2392
9,242.7184
5,80.4290
4,38.2555
2,23.9234
7,97.7199
5,44.5633
6,57.4933
7,79.9787
9,104.7120
5,50.4541
10,493.4211
4,76.0071
0,0.0000
10,179.1045
2,74.6826
7,42.7838
2,94.9968
6,58.8351
1,20.4527
4,24.9792
9,87.6680
7,92.1942
6,91.3798
6,57.8146
1,71.5820
3,23.0521
2,18.3117
6,47.0219
8,107.0282
5,50.5817
5,58.9507
2,41.3337
3,20.4082
2,17.7620
1,12.6984
2,12.4414
4,25.3829
8,162.5135
1,20.0173
5,47.2218
11,349.6504
3,36.8324
5,43.8982
3,45.0450
2,18.1631
6,82.3949
3,43.0169
2,26.6170
4,19.7291
9,121.5067
5,74.9813
5,60.9508
3,20.4834
5,41.0060
3,61.9707
4,46.3535
2,24.3982
5,42.5592
5,83.4957
8,69.1882
