CLICKS, MaxCPM5
1474374601,4,46
1474374611,4,108
1474374621,6,65
1474374631,7,89
1474374641,8,74
1474374651,5,60
1474374661,2,40
1474374671,2,24
1474374681,9,218
1474374691,11,154
1474374701,6,127
1474374711,6,70
1474374721,5,54
1474374731,2,69
1474374741,10,138
1474374752,7,171
1474374762,7,66
1474374772,5,109
1474374782,1,25
1474374792,4,29
1474374802,1,16
1474374812,3,15
1474374822,10,134
1474374832,6,94
1474374842,6,80
1474374852,1,24
1474374862,5,43
1474374872,6,119
1474374882,4,30
1474374892,2,31
1474374902,5,40
1474374912,4,37
1474374922,6,63
1474374932,5,68
1474374942,4,32
1474374952,5,57
1474374962,9,132
1474374972,16,477
1474374982,3,37
1474374992,8,112
1474375002,2,54
1474375012,4,24
1474375022,9,169
1474375032,10,219
1474375042,4,113
1474375052,8,84
1474375062,2,44
1474375072,9,100
1474375082,5,78
1474375092,6,84
1474375102,6,44
1474375112,6,51
1474375122,7,118
1474375132,2,44
1474375142,9,99
1474375152,7,111
1474375162,4,46
1474375172,4,30
1474375182,7,77
1474375192,8,168
1474375202,4,69
1474375212,5,42
1474375222,6,42
1474375232,5,49
1474375242,5,48
1474375252,9,120
1474375262,3,72
1474375272,2,21
1474375282,4,30
1474375292,3,21
1474375302,2,23
1474375312,7,128
1474375322,7,161
1474375332,10,137
1474375342,6,72
1474375352,3,49
1474375362,7,107
1474375372,4,52
1474375382,8,94
1474375392,5,160
1474375402,4,31
1474375412,6,47
1474375422,4,52
1474375432,1,20
1474375442,4,33
1474375452,6,48
1474375462,5,90
1474375472,7,102
1474375482,5,59
1474375492,5,101
1474375502,9,113
1474375512,1,20
1474375522,3,19
1474375532,8,121
1474375542,5,50
1474375552,7,104
1474375562,5,87
1474375572,7,92
1474375582,4,35
1474375592,5,85
1474375602,5,56
1474375612,5,55
1474375622,5,50
1474375632,6,45
1474375642,7,71
1474375652,6,101
1474375662,4,45
1474375672,9,121
1474375682,5,92
1474375692,12,423
1474375702,7,81
1474375712,4,53
1474375722,6,79
1474375732,9,238
1474375742,8,106
1474375752,6,68
1474375762,6,95
1474375772,2,72
1474375783,8,118
1474375793,9,154
1474375803,7,103
1474375813,8,186
1474375823,8,78
1474375833,3,83
1474375843,5,34
1474375853,4,30
1474375863,7,88
1474375873,11,103
1474375883,4,77
1474375893,7,82
1474375903,5,68
1474375913,7,69
1474375923,9,176
1474375933,5,55
1474375943,7,69
1474375953,5,52
1474375963,2,28
1474375973,7,97
1474375983,9,162
1474375993,7,97
1474376003,0,0
1474376013,6,74
1474376023,6,142
1474376033,5,50
1474376043,4,29
1474376053,5,82
1474376063,4,32
1474376073,14,184
1474376083,6,105
1474376093,3,35
1474376103,5,33
1474376113,7,61
1474376123,5,50
1474376133,3,40
1474376143,5,47
1474376153,5,50
1474376163,4,37
1474376173,4,33
1474376183,4,34
1474376193,1,34
1474376203,10,405
1474376213,6,122
1474376223,5,59
1474376233,5,108
1474376243,8,94
1474376253,2,26
1474376263,5,41
1474376273,6,150
1474376283,2,25
1474376293,4,26
1474376303,8,88
1474376313,1,33
1474376323,2,19
1474376333,7,76
1474376343,7,61
1474376353,3,31
1474376363,4,25
1474376373,5,47
1474376383,1,36
1474376393,4,20
1474376403,3,28
1474376413,4,32
1474376423,5,50
1474376433,6,50
1474376443,2,29
1474376453,3,22
1474376463,8,82
1474376473,11,274
1474376483,6,120
1474376493,4,116
1474376503,8,104
1474376513,6,92
1474376523,5,99
1474376533,4,73
1474376543,3,28
1474376553,4,32
1474376563,9,296
1474376573,6,59
1474376583,7,84
1474376593,2,54
1474376603,4,23
1474376613,6,82
1474376623,6,120
1474376633,11,134
1474376643,4,50
1474376653,6,52
1474376663,6,62
1474376673,3,27
1474376683,4,62
1474376693,4,28
1474376703,6,72
1474376713,4,44
1474376723,4,32
1474376733,1,15
1474376743,10,212
1474376753,11,251
1474376763,10,202
1474376773,5,57
1474376783,4,107
1474376793,7,82
1474376803,8,139
1474376814,3,45
1474376824,7,151
1474376834,4,36
1474376844,5,80
1474376854,8,181
1474376864,5,89
1474376874,3,26
1474376884,3,20
1474376894,8,108
1474376904,5,61
1474376914,8,143
1474376924,5,50
1474376934,5,37
1474376944,9,118
1474376954,10,123
1474376964,5,51
1474376974,5,79
1474376984,7,90
1474376994,5,43
1474377004,4,55
1474377014,3,28
1474377024,4,45
1474377034,5,53
1474377044,6,63
1474377054,7,81
1474377064,4,71
1474377074,4,26
1474377084,6,50
1474377094,2,45
1474377104,5,45
1474377114,6,152
1474377124,5,98
1474377134,8,57
1474377144,6,82
1474377154,5,82
1474377164,6,58
1474377174,5,44
1474377184,6,71
1474377194,4,25
1474377204,11,130
1474377214,4,132
1474377224,13,293
1474377234,6,66
1474377244,4,46
1474377254,7,57
1474377264,5,59
1474377274,8,98
1474377284,5,106
1474377294,9,92
1474377304,4,42
1474377314,7,55
1474377324,2,31
1474377334,3,32
1474377344,11,142
1474377354,2,29
1474377364,8,100
1474377374,3,56
1474377384,8,108
1474377394,3,114
1474377404,5,37
1474377414,3,30
1474377424,7,129
1474377434,3,60
1474377444,7,59
1474377454,5,76
1474377464,6,78
1474377474,7,146
1474377484,10,140
1474377494,5,56
1474377504,10,165
1474377514,1,30
1474377524,9,294
1474377534,3,26
1474377544,6,57
1474377554,11,213
1474377564,5,86
1474377574,6,108
1474377584,6,49
1474377594,7,185
1474377604,8,98
1474377614,3,54
1474377624,6,69
1474377634,2,59
1474377644,7,69
1474377654,2,30
1474377664,9,141
1474377674,7,72
1474377684,5,73
1474377694,3,54
1474377704,8,155
1474377714,9,110
1474377724,2,65
1474377734,8,80
1474377744,2,30
1474377754,2,16
1474377764,9,103
1474377774,6,103
1474377784,5,56
1474377794,4,30
1474377804,6,99
1474377814,4,41
1474377824,5,44
1474377835,9,92
1474377845,4,91
1474377855,9,157
1474377865,7,121
1474377875,3,33
1474377885,4,26
1474377895,8,127
1474377905,4,48
1474377915,5,52
1474377925,2,46
1474377935,8,105
1474377945,2,47
1474377955,8,184
1474377965,7,91
1474377975,5,36
1474377985,7,126
1474377995,5,58
1474378005,8,93
1474378015,8,91
1474378025,6,59
1474378035,3,26
1474378045,4,26
1474378055,4,36
1474378065,4,33
1474378075,4,36
1474378085,7,68
1474378095,7,47
1474378105,3,59
1474378115,12,151
1474378125,7,121
1474378135,2,81
1474378145,6,57
1474378155,5,60
1474378165,6,65
1474378175,4,67
1474378185,3,33
1474378195,10,147
1474378205,10,97
1474378215,3,30
1474378225,10,86
1474378235,3,69
1474378245,4,32
1474378255,8,121
1474378265,6,85
1474378275,10,199
1474378285,7,111
1474378295,6,82
1474378305,2,48
1474378315,5,41
1474378325,1,17
1474378335,9,332
1474378345,4,33
1474378355,9,83
1474378365,0,0
1474378375,2,18
1474378385,2,12
1474378395,3,18
1474378405,5,55
1474378415,5,47
1474378425,4,45
1474378435,5,58
1474378445,2,26
1474378455,2,14
1474378465,5,66
1474378475,4,28
1474378485,4,44
1474378495,7,47
