CLICKS, MaxCPM5
1474404260,1,40
1474404270,1,14
1474404280,4,25
1474404290,5,53
1474404300,5,38
1474404310,1,41
1474404320,1,13
1474404330,0,0
1474404340,4,15
1474404350,10,129
1474404360,4,55
1474404370,3,28
1474404380,4,51
1474404390,9,313
1474404400,5,44
1474404410,4,52
1474404420,5,55
1474404430,9,165
1474404440,5,111
1474404450,4,26
1474404460,9,253
1474404470,4,60
1474404480,8,85
1474404490,8,97
1474404500,2,61
1474404510,5,45
1474404520,4,41
1474404530,7,64
1474404540,7,165
1474404550,2,60
1474404560,7,38
1474404570,8,189
1474404580,2,50
1474404590,8,71
1474404600,3,33
1474404610,5,54
1474404620,4,36
1474404630,5,85
1474404640,3,44
1474404650,10,93
1474404660,6,72
1474404670,4,40
1474404680,5,54
1474404690,8,86
1474404700,5,45
1474404710,8,160
1474404720,1,27
1474404730,4,22
1474404740,5,78
1474404750,1,16
1474404760,6,122
1474404770,6,54
1474404780,3,43
1474404790,3,22
1474404800,8,104
1474404810,2,106
1474404820,1,17
1474404831,4,24
1474404841,9,123
1474404851,7,157
1474404861,6,73
1474404871,4,36
1474404881,8,70
1474404891,3,36
1474404901,8,70
1474404911,5,78
1474404921,3,23
1474404931,3,26
1474404941,2,26
1474404951,8,81
1474404961,6,74
1474404971,5,106
1474404981,7,67
1474404991,9,110
1474405001,6,143
1474405011,6,62
1474405021,5,128
1474405031,6,57
1474405041,5,46
1474405051,6,128
1474405061,4,36
1474405071,6,210
1474405081,2,30
1474405091,7,64
1474405101,8,238
1474405111,4,39
1474405121,6,59
1474405131,3,36
1474405141,3,29
1474405151,5,61
1474405161,7,51
1474405171,5,65
1474405181,6,77
1474405191,4,52
1474405201,9,155
1474405211,6,69
1474405221,7,171
1474405231,5,42
1474405241,4,33
1474405251,3,27
1474405261,5,42
1474405271,4,26
1474405281,1,52
1474405291,2,15
1474405301,3,23
1474405311,0,0
1474405321,2,19
1474405331,9,350
1474405341,5,219
1474405351,2,30
1474405361,8,112
1474405371,5,54
1474405381,4,50
1474405391,4,27
1474405401,3,37
1474405411,7,87
1474405421,1,21
1474405431,4,26
1474405441,2,37
1474405451,4,28
1474405461,4,24
1474405471,7,75
1474405481,4,63
1474405491,7,133
1474405501,5,36
1474405511,2,27
1474405521,3,20
1474405531,5,36
1474405541,3,26
1474405551,3,37
1474405561,8,115
1474405571,5,62
1474405581,2,20
1474405591,6,51
1474405601,7,93
1474405611,3,64
1474405621,3,24
1474405631,5,48
1474405641,3,47
1474405651,2,21
1474405661,6,70
1474405671,5,50
1474405681,8,81
1474405691,12,211
1474405701,9,137
1474405711,7,100
1474405721,2,36
1474405731,10,191
1474405741,10,168
1474405751,8,86
1474405761,7,94
1474405771,6,76
1474405781,4,46
1474405791,4,38
1474405801,3,26
1474405811,4,36
1474405821,3,45
1474405831,3,21
1474405841,3,37
1474405851,7,49
1474405861,8,120
1474405871,5,95
1474405882,10,113
1474405892,4,80
1474405902,8,76
1474405912,2,37
1474405922,7,116
1474405932,3,38
1474405942,8,64
1474405952,5,47
1474405962,3,45
1474405972,8,144
1474405982,3,35
1474405992,7,59
1474406002,7,82
1474406012,8,137
1474406022,5,137
1474406032,8,65
1474406042,4,35
1474406052,7,93
1474406062,5,66
1474406072,3,39
1474406082,5,42
1474406092,5,55
1474406102,4,52
1474406112,3,25
1474406122,4,41
1474406132,3,32
1474406142,1,19
1474406152,5,41
1474406162,3,65
1474406172,1,16
1474406182,7,64
1474406192,6,55
1474406202,2,23
1474406212,7,67
1474406222,10,532
1474406232,6,102
1474406242,6,107
1474406252,4,32
1474406262,2,23
1474406272,11,193
1474406282,5,89
1474406292,6,80
1474406302,1,34
1474406312,5,38
1474406322,2,40
1474406332,6,49
1474406342,3,39
1474406352,5,35
1474406362,7,88
1474406372,4,36
1474406382,2,22
1474406392,8,113
1474406402,2,32
1474406412,6,46
1474406422,3,73
1474406432,5,52
1474406442,3,43
1474406452,8,148
1474406462,3,147
1474406472,4,26
1474406482,5,92
1474406492,3,25
1474406502,3,38
1474406512,5,90
1474406522,6,74
1474406532,6,52
1474406542,5,50
1474406552,7,77
1474406562,5,43
1474406572,6,62
1474406582,4,44
1474406592,3,70
1474406602,4,47
1474406612,5,36
1474406622,6,73
1474406632,5,41
1474406642,6,128
1474406652,4,34
1474406662,2,33
1474406672,8,56
1474406682,2,32
1474406692,7,82
1474406702,4,51
1474406712,5,56
1474406722,3,24
1474406732,7,69
1474406742,8,93
1474406752,7,74
1474406762,2,58
1474406772,5,42
1474406782,4,40
1474406792,4,37
1474406802,7,66
1474406812,6,115
1474406822,5,51
1474406832,2,40
1474406842,5,61
1474406852,6,70
1474406862,6,113
1474406872,5,57
1474406882,2,21
1474406892,3,22
1474406902,8,90
1474406912,6,110
1474406922,3,21
1474406932,3,34
1474406942,4,33
1474406952,3,30
1474406963,7,89
1474406973,5,41
1474406983,2,19
1474406993,8,73
1474407003,6,96
1474407013,7,66
1474407023,5,58
1474407033,5,60
1474407043,6,53
1474407053,2,51
1474407063,4,25
1474407073,4,37
1474407083,4,32
1474407093,8,124
1474407103,6,75
1474407113,3,34
1474407123,5,57
1474407133,3,45
1474407143,1,13
1474407153,3,14
1474407163,5,110
1474407173,1,54
1474407183,5,58
1474407193,4,50
1474407203,4,28
1474407213,5,68
1474407223,5,48
1474407233,7,102
1474407243,10,189
1474407253,5,58
1474407263,4,32
1474407273,5,57
1474407283,7,150
1474407293,6,103
1474407303,5,73
1474407313,5,50
1474407323,5,35
1474407333,3,35
1474407343,2,21
1474407353,4,31
1474407363,3,32
1474407373,5,78
1474407383,10,135
1474407393,6,88
1474407403,6,78
1474407413,3,35
1474407423,0,0
1474407433,2,12
1474407443,5,44
1474407453,5,51
1474407463,5,46
1474407473,2,22
1474407483,7,101
1474407493,4,98
1474407503,3,29
1474407513,1,14
1474407523,2,15
1474407533,6,69
1474407543,6,47
1474407553,3,31
1474407563,3,42
1474407573,5,37
1474407583,7,109
1474407593,2,48
1474407603,6,68
1474407613,6,53
1474407623,2,41
1474407633,7,95
1474407643,4,32
1474407653,9,103
1474407663,3,30
1474407673,3,26
1474407683,7,82
1474407693,4,37
1474407703,12,299
1474407713,3,43
1474407723,5,35
1474407733,1,23
1474407743,3,20
1474407753,2,22
1474407763,2,13
1474407773,7,66
1474407783,10,123
1474407793,4,55
1474407803,7,84
1474407813,4,40
1474407823,8,105
1474407833,1,30
1474407843,3,20
1474407853,5,35
1474407863,8,105
1474407873,4,55
1474407883,5,42
1474407893,12,267
1474407903,8,123
1474407913,5,50
1474407923,4,30
1474407933,7,202
1474407943,7,90
1474407953,2,74
1474407963,4,33
1474407973,6,42
1474407983,1,28
1474407993,3,23
1474408003,5,46
1474408013,1,24
1474408024,4,25
1474408034,2,21
1474408044,5,41
1474408054,7,57
1474408064,3,29
1474408074,4,48
1474408084,10,120
1474408094,5,55
1474408104,7,80
1474408114,2,31
1474408124,5,38
1474408134,6,77
1474408144,10,178
1474408154,6,54
1474408164,8,165
1474408174,7,51
1474408184,3,32
1474408194,3,45
1474408204,4,42
1474408214,3,28
1474408224,6,50
1474408234,8,86
1474408244,10,264
1474408254,5,56
1474408264,5,106
1474408274,3,27
1474408284,5,49
1474408294,7,91
1474408304,5,76
1474408314,3,25
1474408324,4,59
1474408334,1,32
1474408344,5,66
1474408354,8,99
1474408364,3,38
1474408374,6,134
1474408384,3,42
1474408394,5,36
1474408404,4,41
1474408414,6,70
1474408424,4,54
1474408434,4,25
1474408444,6,59
1474408454,4,45
1474408464,5,45
1474408474,4,42
1474408484,7,99
1474408494,2,37
1474408504,6,68
1474408514,5,48
1474408524,8,95
1474408534,3,59
1474408544,5,35
1474408554,8,102
1474408564,10,255
1474408574,5,119
1474408584,3,24
1474408594,6,116
1474408604,7,54
1474408614,3,49
1474408624,8,97
1474408634,5,67
1474408644,2,20
1474408654,5,53
1474408664,6,51
1474408674,3,46
1474408684,3,27
1474408694,3,22
1474408704,7,83
1474408714,4,43
1474408724,12,134
1474408734,5,152
1474408744,12,146
1474408754,7,72
1474408764,2,36
1474408774,8,189
1474408784,6,104
1474408794,8,141
1474408804,3,37
1474408814,4,38
1474408824,5,51
1474408834,3,34
1474408844,5,147
1474408854,5,74
1474408864,4,46
1474408874,3,29
1474408884,9,169
1474408894,8,93
1474408904,4,58
1474408914,5,39
1474408924,3,46
1474408934,6,74
1474408944,5,65
1474408954,6,105
1474408964,4,45
1474408974,5,101
1474408984,6,58
1474408994,8,65
1474409004,6,93
1474409014,5,50
1474409024,3,38
1474409034,7,67
1474409044,5,52
1474409055,3,31
1474409065,2,19
1474409075,3,23
1474409085,5,72
1474409095,7,80
1474409105,6,66
1474409115,5,46
1474409125,4,170
1474409135,5,163
1474409145,6,46
1474409155,4,57
1474409165,6,46
1474409175,6,58
1474409185,3,67
1474409195,4,32
1474409205,6,61
1474409215,3,45
1474409225,2,28
1474409235,5,35
1474409245,5,64
1474409255,5,46
1474409265,7,68
1474409275,5,55
1474409285,3,30
1474409295,2,27
1474409305,8,85
1474409315,4,61
1474409325,8,85
1474409335,5,69
1474409345,5,42
1474409355,1,35
1474409365,5,33
1474409375,8,167
1474409385,1,44
1474409395,1,15
1474409405,4,25
1474409415,4,22
1474409425,6,121
1474409435,3,49
1474409445,11,136
1474409455,2,69
1474409465,4,31
1474409475,5,55
1474409485,6,83
1474409495,6,54
1474409505,3,36
1474409515,5,48
1474409525,2,29
1474409535,6,90
1474409545,5,49
1474409555,5,82
1474409565,3,33
1474409575,4,23
1474409585,3,29
1474409595,6,53
1474409605,7,97
1474409615,4,69
1474409625,7,74
1474409635,5,60
1474409645,6,70
1474409655,7,70
1474409665,5,42
1474409675,8,86
1474409685,2,28
1474409695,3,25
1474409705,6,47
1474409715,2,35
1474409725,4,30
1474409735,2,38
1474409745,5,43
1474409755,2,31
1474409765,5,43
1474409775,9,127
1474409785,8,68
1474409795,3,44
1474409805,3,26
1474409815,2,32
1474409825,7,58
1474409835,5,53
1474409845,5,74
1474409855,5,107
1474409865,4,41
1474409875,7,95
1474409885,1,49
1474409895,4,19
1474409905,6,47
1474409915,5,47
1474409925,4,38
1474409935,3,32
1474409945,5,35
1474409955,5,36
1474409965,9,97
1474409975,6,67
1474409985,3,38
1474409995,7,52
1474410005,4,45
1474410015,6,125
1474410025,13,404
1474410035,2,68
1474410045,8,176
1474410055,4,44
1474410065,6,54
1474410075,3,34
1474410085,4,24
1474410095,6,111
1474410105,5,57
1474410116,2,66
1474410126,7,60
1474410136,6,53
1474410146,5,86
1474410156,7,127
1474410166,5,39
1474410176,7,78
1474410186,7,200
1474410196,5,47
1474410206,4,64
1474410216,8,90
1474410226,3,49
1474410236,4,33
1474410246,6,45
1474410256,7,120
1474410266,4,31
1474410276,3,41
1474410286,4,23
1474410296,6,105
1474410306,2,31
1474410316,3,17
1474410326,2,29
1474410336,6,80
1474410346,8,85
1474410356,3,37
1474410366,8,102
1474410376,6,127
1474410386,2,28
1474410396,5,40
1474410406,1,20
1474410416,3,19
1474410426,4,32
1474410436,7,75
1474410446,6,60
1474410456,6,75
1474410466,3,31
1474410476,3,29
1474410486,2,27
1474410496,7,55
1474410506,6,159
1474410516,5,78
1474410526,7,113
1474410536,2,48
1474410546,2,16
1474410556,7,64
1474410566,4,52
1474410576,7,72
1474410586,5,67
1474410596,5,62
1474410606,12,197
1474410616,2,49
1474410626,6,64
1474410636,6,59
1474410646,7,128
1474410656,4,52
1474410666,4,42
1474410676,6,49
1474410686,9,102
1474410696,5,62
1474410706,6,93
1474410716,5,70
1474410726,4,40
1474410736,4,28
1474410746,4,91
1474410756,12,107
1474410766,6,116
1474410776,6,48
1474410786,5,82
1474410796,4,31
1474410806,4,47
1474410816,3,56
1474410826,4,29
1474410836,5,66
1474410846,5,47
1474410856,6,89
1474410866,5,61
1474410876,5,39
1474410886,2,31
1474410896,6,79
1474410906,4,97
1474410916,4,37
1474410926,4,27
1474410936,4,31
1474410946,2,31
1474410956,4,30
1474410966,0,0
1474410976,7,74
1474410986,4,68
1474410996,9,101
1474411006,2,38
1474411016,4,33
1474411026,1,18
1474411036,6,56
1474411046,8,104
1474411056,3,56
1474411066,5,72
1474411076,3,33
1474411086,1,24
1474411096,7,71
1474411106,3,47
1474411116,10,134
1474411126,8,107
1474411136,4,28
1474411146,7,153
1474411156,4,34
1474411167,3,33
1474411177,7,104
1474411187,5,51
1474411197,8,127
1474411207,1,35
1474411217,2,17
1474411227,3,16
1474411237,3,24
1474411247,6,48
1474411257,5,58
1474411267,6,51
1474411277,4,37
1474411287,5,54
1474411297,4,32
1474411307,7,86
1474411317,2,40
1474411327,12,119
1474411337,2,38
1474411347,2,25
1474411357,9,238
1474411367,5,49
1474411377,7,61
1474411387,6,109
1474411397,1,79
1474411407,6,58
1474411417,5,108
1474411427,4,32
1474411437,9,108
1474411447,4,52
1474411457,11,232
1474411467,3,47
1474411477,4,48
1474411487,2,25
1474411497,5,32
1474411507,1,22
1474411517,2,22
1474411527,5,45
1474411537,2,29
1474411547,8,163
1474411557,5,37
1474411567,5,173
1474411577,5,45
1474411587,3,21
1474411597,3,30
1474411607,3,33
1474411617,9,101
1474411627,4,86
1474411637,8,52
1474411647,6,150
1474411657,5,48
1474411667,9,105
1474411677,4,47
1474411687,4,125
1474411697,1,17
1474411707,2,15
1474411717,1,8
1474411727,5,41
1474411737,9,144
1474411747,3,66
1474411757,4,34
1474411767,9,213
1474411777,4,133
1474411787,6,78
1474411797,3,51
1474411807,4,26
1474411817,8,188
1474411827,5,62
1474411837,5,51
1474411847,7,61
1474411857,5,50
1474411867,5,56
1474411877,4,49
1474411887,4,21
1474411897,3,64
1474411907,5,36
1474411917,7,111
1474411927,5,58
1474411937,2,26
1474411947,6,49
1474411957,7,553
1474411967,0,0
1474411977,9,111
1474411987,1,65
1474411997,4,24
1474412007,4,27
1474412017,4,30
1474412027,3,28
1474412037,9,135
1474412047,6,57
1474412057,6,83
1474412067,4,39
1474412077,8,120
1474412087,8,208
1474412097,6,59
1474412107,9,239
1474412117,4,44
1474412127,3,22
1474412137,4,46
1474412147,6,57
1474412157,7,56
1474412167,4,31
1474412177,6,101
1474412187,3,35
1474412197,5,51
1474412207,3,28
1474412217,4,38
1474412228,10,181
1474412238,5,101
1474412248,6,82
1474412258,3,47
1474412268,3,25
1474412278,3,22
1474412288,6,153
1474412298,6,111
1474412308,7,61
1474412318,9,182
1474412328,5,104
1474412338,3,50
1474412348,3,22
1474412358,6,59
1474412368,3,41
1474412378,6,41
1474412388,0,0
1474412398,5,46
1474412408,5,65
1474412418,5,42
1474412428,5,40
1474412438,6,105
1474412448,3,32
1474412458,4,30
1474412468,4,81
1474412478,10,152
1474412488,7,124
1474412498,2,26
1474412508,4,32
1474412518,6,43
1474412528,3,50
1474412538,2,27
1474412548,1,13
1474412558,5,42
1474412568,5,53
1474412578,7,85
1474412588,4,51
1474412598,7,57
1474412608,4,90
1474412618,6,58
1474412628,5,37
1474412638,3,42
1474412648,8,132
1474412658,4,50
1474412668,5,51
1474412678,4,43
1474412688,4,141
1474412698,7,72
1474412708,4,49
1474412718,5,42
1474412728,7,98
1474412738,3,50
1474412748,7,72
1474412758,6,73
1474412768,0,0
1474412778,7,116
1474412788,4,37
1474412798,6,74
1474412808,4,41
1474412818,4,58
1474412828,4,32
1474412838,3,27
1474412848,7,129
1474412858,7,113
1474412868,7,85
1474412878,2,52
1474412888,4,24
1474412898,9,104
1474412908,6,89
1474412918,6,67
1474412928,6,54
1474412938,9,192
1474412948,3,32
1474412958,5,74
1474412968,8,142
1474412978,2,37
1474412988,7,58
1474412998,3,35
1474413008,6,54
1474413018,6,168
1474413028,2,42
1474413038,4,29
1474413048,6,74
1474413058,7,59
1474413068,6,113
1474413078,7,70
1474413088,7,91
1474413098,7,76
1474413108,8,113
1474413118,3,55
1474413128,5,70
1474413138,3,50
1474413148,5,59
1474413158,4,47
1474413168,2,25
1474413178,7,54
1474413188,9,160
1474413198,4,76
1474413208,5,45
1474413218,7,104
1474413228,9,180
1474413238,6,64
1474413248,4,74
1474413258,2,20
1474413268,5,57
1474413279,7,52
1474413289,4,72
1474413299,6,63
1474413309,8,158
1474413319,4,61
1474413329,3,40
1474413339,9,107
1474413349,4,33
1474413359,4,57
1474413369,6,67
1474413379,4,26
1474413389,6,61
1474413399,4,36
1474413409,7,159
1474413419,3,42
1474413429,4,41
1474413439,5,39
1474413449,5,36
1474413459,2,47
1474413469,4,18
1474413479,8,149
1474413489,6,59
1474413499,7,83
1474413509,3,36
1474413519,0,0
1474413529,7,78
1474413539,5,89
1474413549,7,165
1474413559,1,17
1474413569,6,47
1474413579,4,39
1474413589,5,71
1474413599,5,53
1474413609,5,37
1474413619,3,36
1474413629,14,203
1474413639,4,42
1474413649,2,37
1474413659,4,24
1474413669,4,27
1474413679,3,61
1474413689,5,52
1474413699,4,35
1474413709,6,54
1474413719,4,95
1474413729,8,98
1474413739,5,54
1474413749,2,27
1474413759,12,134
1474413769,2,31
1474413779,7,95
1474413789,5,70
1474413799,4,26
1474413809,7,83
1474413819,6,54
1474413829,6,92
1474413839,3,27
1474413849,3,22
1474413859,3,26
1474413869,4,108
1474413879,4,28
1474413889,9,107
1474413899,8,69
1474413909,10,147
1474413919,5,67
1474413929,3,44
1474413939,9,73
1474413949,7,126
1474413959,2,22
1474413969,1,19
1474413979,2,15
1474413989,5,37
1474413999,7,208
1474414009,7,66
1474414019,1,23
1474414029,2,18
1474414039,5,56
1474414049,6,50
1474414059,7,75
1474414069,3,28
1474414079,8,58
1474414089,3,75
1474414099,8,118
1474414109,5,42
1474414119,4,30
1474414129,3,26
1474414139,5,36
1474414149,4,78
1474414159,8,88
1474414169,10,115
1474414179,9,120
1474414189,4,69
1474414199,6,71
1474414209,9,320
1474414219,8,133
1474414229,6,66
1474414239,3,25
1474414249,6,69
1474414259,6,76
1474414269,7,73
1474414279,7,85
1474414289,1,41
1474414299,10,122
1474414309,7,109
1474414320,3,134
1474414330,8,79
1474414340,4,70
1474414350,4,26
1474414360,2,33
1474414370,6,54
1474414380,12,119
1474414390,8,105
1474414400,4,145
1474414410,3,29
1474414420,5,50
1474414430,7,84
1474414440,6,80
1474414450,4,44
1474414460,7,65
1474414470,5,58
1474414480,4,42
1474414490,5,42
1474414500,3,34
1474414510,2,24
1474414520,4,22
1474414530,4,48
1474414540,3,27
1474414550,4,26
1474414560,10,147
1474414570,1,25
1474414580,3,20
1474414590,6,60
1474414600,5,68
1474414610,2,28
1474414620,5,50
1474414630,3,43
1474414640,3,23
1474414650,6,130
1474414660,7,80
1474414670,2,82
1474414680,8,72
1474414690,2,35
1474414700,5,35
1474414710,6,53
1474414720,3,42
1474414730,3,42
1474414740,7,54
1474414750,4,31
1474414760,6,99
1474414770,10,188
1474414780,5,44
1474414790,4,37
1474414800,11,118
1474414810,5,105
1474414820,4,37
1474414830,7,64
1474414840,7,81
1474414850,4,44
1474414860,4,41
1474414870,4,33
1474414880,6,178
1474414890,0,0
1474414900,7,44
1474414910,4,88
1474414920,3,65
1474414930,8,76
1474414940,1,105
1474414950,5,97
1474414960,5,35
1474414970,7,83
1474414980,6,69
1474414990,3,89
1474415000,6,123
1474415010,2,85
1474415020,6,63
1474415030,6,80
1474415040,5,42
1474415050,2,35
1474415060,3,25
1474415070,5,50
1474415080,5,40
1474415090,3,98
1474415100,7,137
1474415110,6,93
1474415120,13,221
1474415130,2,74
1474415140,5,32
1474415150,6,65
1474415160,7,73
1474415170,4,36
1474415180,6,83
1474415190,5,54
1474415200,9,97
1474415210,5,53
1474415220,4,58
1474415230,0,0
1474415240,4,16
1474415250,1,40
1474415260,3,17
1474415270,6,52
1474415280,5,43
1474415290,1,24
1474415300,6,34
1474415310,3,41
1474415320,4,37
1474415330,6,63
1474415340,9,101
1474415350,1,29
1474415360,3,19
1474415371,3,44
1474415381,6,77
1474415391,5,40
1474415401,6,56
1474415411,4,33
1474415421,5,46
1474415431,5,46
1474415441,4,36
1474415451,7,62
1474415461,9,128
1474415471,4,94
1474415481,7,192
1474415491,9,135
1474415501,5,60
1474415511,8,105
1474415521,9,144
1474415531,3,43
1474415541,7,324
1474415551,7,54
1474415561,3,57
1474415571,2,18
1474415581,6,67
1474415591,4,71
1474415601,9,96
1474415611,6,90
1474415621,4,45
1474415631,1,26
1474415641,6,36
1474415651,3,48
1474415661,5,59
1474415671,5,51
1474415681,3,47
1474415691,8,53
1474415701,4,40
1474415711,9,156
1474415721,4,60
1474415731,4,42
1474415741,5,74
1474415751,10,131
1474415761,5,92
1474415771,8,202
1474415781,4,125
1474415791,6,62
1474415801,2,31
1474415811,4,21
1474415821,7,102
1474415831,6,208
1474415841,10,113
1474415851,7,66
1474415861,3,29
1474415871,8,98
1474415881,1,22
1474415891,4,28
1474415901,3,35
1474415911,7,44
1474415921,4,84
1474415931,4,23
1474415941,3,43
1474415951,4,23
1474415961,4,48
1474415971,7,68
1474415981,4,52
1474415991,7,76
1474416001,6,123
1474416011,5,69
1474416021,1,16
1474416031,3,17
1474416041,4,31
1474416051,7,51
1474416061,4,92
1474416071,2,23
1474416081,5,54
1474416091,4,34
1474416101,9,215
1474416111,3,35
1474416121,8,71
1474416131,4,72
1474416141,6,41
1474416151,3,34
1474416161,6,62
1474416171,4,28
1474416181,8,166
1474416191,6,242
1474416201,6,68
1474416211,11,284
1474416221,4,59
1474416231,4,31
1474416241,5,152
1474416251,4,52
1474416261,6,97
1474416271,6,56
1474416281,5,48
1474416291,5,77
1474416301,3,44
1474416311,7,53
1474416321,9,140
1474416331,3,58
1474416341,2,21
1474416351,2,13
1474416361,4,41
1474416371,4,31
1474416381,2,33
1474416391,5,36
1474416401,4,40
1474416411,4,44
1474416422,7,62
1474416432,9,120
1474416442,6,64
1474416452,8,92
1474416462,6,100
1474416472,8,135
1474416482,6,60
1474416492,5,62
1474416502,7,75
1474416512,3,48
1474416522,2,35
1474416532,3,16
1474416542,8,96
1474416552,5,87
1474416562,6,92
1474416572,3,27
1474416582,4,40
1474416592,3,47
1474416602,6,50
1474416612,5,41
1474416622,4,47
1474416632,5,55
1474416642,2,19
1474416652,7,70
1474416662,1,36
1474416672,5,37
1474416682,4,85
1474416692,7,72
1474416702,6,70
1474416712,2,29
1474416722,10,160
1474416732,2,98
1474416742,7,55
1474416752,5,37
1474416762,3,36
1474416772,2,22
1474416782,5,36
1474416792,4,40
1474416802,2,17
1474416812,6,59
1474416822,4,35
1474416832,4,28
1474416842,8,176
1474416852,9,94
1474416862,5,69
1474416872,6,69
1474416882,6,44
1474416892,3,67
1474416902,6,49
1474416912,5,82
1474416922,6,80
1474416932,4,30
1474416942,4,43
1474416952,4,32
1474416962,2,38
1474416972,5,68
1474416982,4,67
1474416992,1,30
1474417002,2,17
1474417012,3,20
1474417022,6,90
1474417032,5,39
1474417042,1,24
1474417052,7,54
1474417062,8,73
1474417072,6,102
1474417082,5,96
1474417092,1,28
1474417102,8,87
1474417112,4,32
1474417122,4,64
1474417132,5,75
1474417142,7,133
1474417152,6,59
1474417162,4,57
1474417172,6,64
1474417182,2,44
1474417192,5,53
1474417202,7,72
1474417212,1,33
1474417222,5,46
1474417232,8,128
1474417242,6,113
1474417252,5,40
1474417262,6,145
1474417272,0,0
1474417282,5,44
1474417292,9,190
1474417302,1,27
1474417312,5,70
1474417322,3,39
1474417332,5,73
1474417342,3,43
1474417352,7,121
1474417362,4,38
1474417372,4,135
1474417382,12,220
1474417392,8,84
1474417402,6,61
1474417412,8,75
1474417422,4,51
1474417432,4,45
1474417442,4,31
1474417452,8,89
1474417463,2,36
1474417473,5,52
1474417483,6,51
1474417493,11,161
1474417503,4,72
1474417513,2,32
1474417523,5,40
1474417533,6,73
1474417543,5,58
1474417553,8,127
1474417563,8,99
1474417573,7,122
1474417583,5,43
1474417593,3,58
1474417603,12,270
1474417613,3,57
1474417623,10,111
1474417633,8,139
1474417643,10,147
1474417653,4,27
1474417663,4,86
1474417673,5,74
1474417683,4,31
1474417693,4,43
1474417703,3,27
1474417713,9,85
1474417723,6,80
1474417733,6,68
1474417743,3,66
1474417753,6,65
1474417763,6,85
1474417773,4,46
1474417783,6,48
1474417793,4,35
1474417803,2,33
1474417813,8,78
1474417823,4,60
1474417833,2,27
1474417843,7,96
1474417853,3,28
1474417863,3,30
1474417873,11,124
1474417883,6,121
1474417893,4,45
1474417903,5,46
1474417913,5,52
1474417923,9,74
1474417933,6,57
1474417943,3,57
1474417953,3,24
1474417963,5,42
1474417973,0,0
1474417983,5,52
1474417993,5,46
1474418003,5,46
1474418013,5,57
1474418023,6,175
1474418033,5,62
1474418043,10,143
1474418053,4,67
1474418063,4,33
1474418073,2,28
1474418083,9,113
1474418093,9,90
1474418103,3,43
1474418113,7,89
1474418123,3,51
1474418133,6,48
1474418143,10,87
1474418153,5,59
1474418163,8,71
1474418173,4,31
1474418183,8,218
1474418193,6,133
1474418203,5,41
1474418213,3,32
1474418223,3,34
1474418233,5,33
1474418243,4,37
1474418253,5,48
1474418263,6,76
1474418273,5,55
1474418283,6,84
1474418293,6,98
1474418303,7,88
1474418313,2,41
1474418323,3,21
1474418333,9,82
1474418343,3,47
1474418353,8,121
1474418363,5,66
1474418373,9,85
1474418383,9,97
1474418393,9,150
1474418403,4,77
1474418413,7,59
1474418423,1,27
1474418433,5,36
1474418443,4,61
1474418453,5,40
1474418463,5,51
1474418473,5,39
1474418483,4,41
